,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
9568,2023-02-28 02:51:41+00:00,1630400314686980096,https://twitter.com/tasmaisri/status/1630400314686980096,tasmaisri,Twitter for Android,,"@_garrywalia Akshay -modi ji ki agla interview main konsi questions puchhenge
Sudhir - adani par kuchh nehi puchhogi nehi to pm ghabra jayenge",0,0
9569,2023-02-28 02:51:33+00:00,1630400282822672385,https://twitter.com/BhaveshDubai/status/1630400282822672385,BhaveshDubai,Twitter for Android,,@drshamamohd Yesterday I was surfing Facebook and one gentleman posted comment of Mr. Adani that he started his business before Modiji became CM of gujarat and 1st land he received from congress government now Doctor mam have your comments on this,0,0
9570,2023-02-28 02:51:22+00:00,1630400238942064642,https://twitter.com/swagatosahaAAP/status/1630400238942064642,swagatosahaAAP,Twitter for Android,"Kolkata, West Bengal, India",@IPrasu0007 @raghav_chadha R e Adani Scam supporter. Hello.,1,0
9571,2023-02-28 02:50:33+00:00,1630400029851791360,https://twitter.com/livemint/status/1630400029851791360,livemint,Twitter Web App,India,"#CompanyOutsider | Pressure mounts on #Adani as Sebi seeks details on group companies — @Sundeepkk writes. ✍️

Subscribe to the #MintNewsletter here: https://t.co/lxtkc8ZFyt

https://t.co/tfEdpypewx",2,0
9572,2023-02-28 02:50:27+00:00,1630400005566603264,https://twitter.com/TaotiegamesRene/status/1630400005566603264,TaotiegamesRene,Twitter for iPhone,He/Him,@golikehellmachi @PropterMalone Deader than the guy who got run over by the Hindenburg,3,0
9573,2023-02-28 02:50:20+00:00,1630399978081521664,https://twitter.com/sinhasubodh121/status/1630399978081521664,sinhasubodh121,Twitter for Android,,"@chandan_stp @MahuaMoitra Sir,adani ka share ne hi bahuto ka gher kharidwa diya pehle. We ,only Indians can make fun of failure of our own great business.",0,0
9574,2023-02-28 02:50:09+00:00,1630399929826033664,https://twitter.com/Kishan591/status/1630399929826033664,Kishan591,Twitter for Android,,"How to harm @INCIndia? Make AAP victim

“Just when Cong &amp; @RahulGandhi were receiving national attention bcoz of #BharatJodoYatra &amp; attacking govt over #Adani AAP has appeared on the scene to steal some of spotlight""

@BJP4India=@AamAadmiParty

@RaniPadmaK
https://t.co/cKMfKCVlxa",24,9
9575,2023-02-28 02:50:05+00:00,1630399915653480449,https://twitter.com/immmmmDB/status/1630399915653480449,immmmmDB,Twitter for Android,,@PTI_News People wants to remind u about Adani.,1,0
9576,2023-02-28 02:50:00+00:00,1630399892098285568,https://twitter.com/EmpoweringGoa/status/1630399892098285568,EmpoweringGoa,Twitter for Android,Panjim Goa India ,"Nathan Anderson should be conferred with Bharat Ratan. 

He just saved investors from losing 20,000 Crores in the Adani FPO.

Had the FPO gone through, Adani would have then come into a position from where he could buy things with real money and not bank loans based on .....",85,18
9577,2023-02-28 02:49:53+00:00,1630399863862226944,https://twitter.com/veedeesarma/status/1630399863862226944,veedeesarma,Twitter for iPhone,"Bangalore, India",@pbhushan1 The fall of Adani empire in a way demonetised Modi !😀😀,0,0
9578,2023-02-28 02:49:52+00:00,1630399858925346816,https://twitter.com/rajivmehta19/status/1630399858925346816,rajivmehta19,Twitter for iPhone,New Delhi,The truth about Adani’s big buck business - The Sunday Guardian Live https://t.co/3R5z2h3CO8,13,2
9579,2023-02-28 02:49:45+00:00,1630399831482208256,https://twitter.com/AshishPintu09/status/1630399831482208256,AshishPintu09,Twitter for Android,"Cuttack, India","@AnilSinghvi_ @ZeeBusiness Sir, when we have to purchase Adani shares.
Please Suggest sir.",0,0
9580,2023-02-28 02:49:35+00:00,1630399789379776512,https://twitter.com/NavbharatTimes/status/1630399789379776512,NavbharatTimes,TweetDeck Web App,"Delhi, India","भारतीय स्टेट बैंक के नेतृत्व में बैंकों के समूह ने यह फैसला किया है कि अडानी एंटरप्राइजेज लिमिटेड की क्रेडिट लिमिट को बरकरार रखा जाएगा. #GautamAdani #AdaniGroup #hindenburg #SBI 
https://t.co/yRhDJO8VvQ https://t.co/kmDbHzcJIV",143,7
9581,2023-02-28 02:49:27+00:00,1630399754965483520,https://twitter.com/Puneet60002458/status/1630399754965483520,Puneet60002458,Twitter for Android,India,@beingarun28 Chaal Jhootha Adani pe bhee kucch bool,0,0
9582,2023-02-28 02:49:21+00:00,1630399729547837440,https://twitter.com/yasminpasha/status/1630399729547837440,yasminpasha,Twitter for iPhone,,"Aaahh!!! can’t watch 🫣

OWNED!!!

Hopefully Congress keeps up the intensity, keeps hitting harder, stays on course &amp; wins. India deserves better.

#Adani #Modi #Modani #MallikarjunKharge #Congress 🤯💥💣🤙🏼🫠👍🏼😁👌🏼🎉👏🏼🤭🙌🏼🫡🤘🏼✊🏼",0,0
9583,2023-02-28 02:49:14+00:00,1630399701630726144,https://twitter.com/seemasi41214493/status/1630399701630726144,seemasi41214493,Twitter for Android,,@AamAadmiParty @msisodia Adani ke bare me Modi ji ak bhi sabd ka use nhi kiye vah re modi sarkar,0,0
9584,2023-02-28 02:49:12+00:00,1630399690914013186,https://twitter.com/business_today/status/1630399690914013186,business_today,Twitter Web App,India,"Adani Ports, Tata Motors, Bank of Baroda: What should be your strategy for today's session
@apex_pawan 
https://t.co/oA66sKfTj3",2,0
9585,2023-02-28 02:49:03+00:00,1630399652720934913,https://twitter.com/YabaDaba_Doo/status/1630399652720934913,YabaDaba_Doo,Twitter for Android,India,"@sarabjitsingh61 @DeshBhakatJoshN @narendramodi @rashtrapatibhvn @VPIndia @PTI_News @SudhanshuTrived @SanjayAzadSln @raghav_chadha @aajtak @ABPNews @indiatvnews @TNNavbharat @htTweets @HindiKhabar @NBTDilli hoga b kyu nai jab Adani mera Bhai to ye b mera Bhai.

stick to Adani issue @AamAadmiParty sab changa hoga. Hurt them where it will pain them.",2,0
